transcript	RIBO_GMP_Ven_A	RIBO_GMP_Ven_B	RIBO_GMP_vehicle_A	RIBO_GMP_vehicle_B	RIBO_HSC_Ven_A	RIBO_HSC_Ven_B	RIBO_HSC_vehicle_A	RIBO_HSC_vehicle_B	RIBO_GMP_Ven_A_21	RIBO_GMP_Ven_B_21	RIBO_GMP_vehicle_A_21	RIBO_GMP_vehicle_B_21	RIBO_HSC_Ven_A_21	RIBO_HSC_Ven_B_21	RIBO_HSC_vehicle_A_21	RIBO_HSC_vehicle_B_21
1700047I17Rik2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700056E22Rik	0	0	0	1	0	1	1	1	1	0	0	1	2	0	1	1
1700057G04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061G19Rik	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
1700064H15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066M21Rik	20	8	16	13	11	5	11	18	6	3	5	4	18	4	4	4
1700067K01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700088E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092M07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700093K21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700094D03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700102P08Rik	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
1700109H08Rik	2	1	4	2	0	0	2	2	1	1	1	0	0	0	2	0
1700113H08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700123L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700123O20Rik	78	38	65	59	34	22	57	61	18	8	10	18	24	1	23	25
1700125H20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810009A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810009J06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810010H24Rik	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
1810013L24Rik	33	6	11	14	7	1	13	17	7	0	5	5	11	4	10	3
1810020O05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810024B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810030O07Rik	211	126	171	187	110	71	139	157	33	24	39	38	48	18	32	36
1810037I17Rik	94	57	63	70	58	24	86	82	20	12	13	27	51	12	34	32
1810046K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810049J17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810055G02Rik	4	1	1	2	2	0	1	1	1	0	0	2	2	0	0	2
1810058I24Rik	54	21	36	39	15	5	22	12	15	6	12	8	14	3	15	7
1810062G17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810065E05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010003K11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010106E10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010109A12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010300C02Rik	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0
2010315B03Rik	13	6	13	7	6	0	9	8	5	1	3	2	5	1	2	2
2200002D01Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2200002J24Rik	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0
2210010C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210011C24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210016F16Rik	93	29	56	80	49	7	64	43	27	10	17	16	47	9	18	11
2210016L21Rik	94	40	71	72	47	22	63	56	11	11	16	16	23	4	16	11
2210017I01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210407C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210408I21Rik	3	2	2	2	5	0	2	1	0	0	1	2	3	0	0	1
2210418O10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300002M23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300009A05Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310002L09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310009A05Rik	95	36	38	68	19	7	37	32	10	2	8	17	20	2	12	10
2310009B15Rik	3	3	1	3	0	0	1	0	1	0	0	2	6	0	2	0
2310011J03Rik	4	3	4	3	9	1	7	4	1	0	3	0	16	2	6	7
2310022A10Rik	14	9	16	18	18	2	7	12	6	0	6	5	39	7	15	7
2310022B05Rik	17	4	11	8	12	6	12	8	0	1	1	2	10	5	8	5
2310030G06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310033P09Rik	75	25	32	43	14	11	31	24	9	5	6	6	16	5	17	8
2310034C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310034G01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310039H08Rik	1	0	1	2	1	0	0	2	0	0	1	0	0	0	0	1
2310046K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310057M21Rik	35	17	28	20	18	4	15	13	3	2	5	3	11	2	10	3
2310057N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310061I04Rik	15	4	9	8	11	0	12	5	0	1	0	2	10	1	2	4
2310061N02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410002F23Rik	34	13	30	32	46	17	30	23	3	2	5	5	26	1	12	7
2410004B18Rik	41	17	34	40	32	11	47	49	12	6	11	9	24	3	15	11
2410004P03Rik	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
2410131K14Rik	3	0	2	1	0	1	4	2	1	1	0	0	4	1	1	1
2410137M14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410141K09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2510002D24Rik	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0
2510009E07Rik	2	1	2	2	2	1	1	0	1	0	3	0	1	0	0	2
2510039O18Rik	88	41	64	70	60	16	54	52	34	21	67	25	142	20	80	77
2610001J05Rik	20	6	9	6	13	1	13	17	1	2	4	2	9	2	2	2
2610002M06Rik	55	19	32	41	26	12	27	31	6	8	2	7	6	2	12	15
2610008E11Rik	8	7	11	8	17	5	14	15	2	0	0	3	8	2	4	4
2610021A01Rik	21	5	13	6	14	5	13	11	2	0	5	1	5	1	1	2
2610028H24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610042L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610044O15Rik8	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0
2610301B20Rik	19	5	7	5	9	2	11	7	3	3	2	2	3	2	5	1
2610318N02Rik	4	3	7	2	6	1	5	4	3	1	2	1	14	4	4	3
2610507B11Rik	359	124	289	245	378	69	225	200	227	71	195	131	428	86	182	153
2610528A11Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2610528J11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700049A03Rik	88	42	41	56	68	23	37	36	13	6	17	11	47	16	17	11
2700062C07Rik	11	3	1	2	3	1	3	1	2	0	0	0	0	1	3	2
2700081O15Rik	4	0	0	2	1	0	0	0	0	0	2	1	2	0	1	1
2700097O09Rik	31	6	9	8	10	7	10	11	5	1	2	3	5	0	2	1
2810004N23Rik	112	49	71	87	77	20	68	59	25	8	21	15	63	11	30	29
2810006K23Rik	86	37	60	65	42	11	57	45	9	7	8	12	10	3	18	12
2810021J22Rik	5	7	1	8	4	1	7	4	1	0	3	1	5	1	2	2
2810408A11Rik	3	0	4	2	2	0	1	0	0	0	0	0	0	0	0	0
2810459M11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900026A02Rik	3	1	2	1	3	1	2	2	2	0	2	0	5	1	6	4
2900092C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110001I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110009E18Rik	17	9	13	15	8	6	16	18	1	2	3	3	6	1	5	2
3110021N24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110040M04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110040N11Rik	39	13	24	23	60	13	70	57	12	7	6	5	42	15	23	17
3110082I17Rik	75	49	59	54	26	14	24	36	12	5	12	13	41	8	16	15
3110082J24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3300002I08Rik	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
3425401B19Rik	0	0	0	0	0	0	1	0	0	0	0	0	5	0	1	0
3830403N18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3830406C13Rik	18	15	19	18	9	12	13	13	0	2	3	2	1	0	2	2
3830417A13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4430402I18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4632433K11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833420G17Rik	42	14	22	41	44	14	47	32	20	3	14	10	34	8	16	20
4833423E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833427G06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833439L19Rik	9	3	3	3	17	2	7	6	5	2	11	4	31	12	19	19
4921504E06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921507P07Rik	1	1	1	6	8	0	9	10	0	0	0	0	3	0	5	2
4921509C19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921511C20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921511M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921517D22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921524J17Rik	70	34	43	48	21	7	29	16	19	4	9	14	13	3	10	8
4921524L21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921536K21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921539E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4922502D21Rik	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
4930402F06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930402H24Rik	28	6	12	18	20	7	21	11	10	3	13	10	24	3	18	12
4930402K13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930404H24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930404N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930407I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930412O13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930415L06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930415O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930430A15Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4930430F08Rik	14	7	9	10	10	4	14	12	4	1	3	1	3	0	2	0
4930432K21Rik	3	1	2	3	2	0	1	3	2	0	2	0	1	0	4	1
4930432M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930433I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930438A08Rik	58	23	43	44	43	4	41	36	17	8	25	8	39	4	29	9
4930444G20Rik	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
4930444P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930447A16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930447C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930447F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930449I24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930451I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930452B06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930453N24Rik	73	26	31	47	51	6	45	48	12	6	14	9	41	6	25	11
4930455H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930467E23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930469K13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930470P17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930474N05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930480E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4930486L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930502E18Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4930503B20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930503E14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930503L19Rik	10	6	6	8	4	0	3	5	7	3	2	0	6	3	3	5
4930505A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930512M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930513O06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930516K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930519G04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930522H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930522L14Rik	3	0	2	1	2	0	0	1	1	0	0	0	1	0	0	0
4930523C07Rik	2	0	1	0	1	0	2	2	2	1	0	0	1	0	1	0
4930524B15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930524N10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930539E08Rik	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1
4930544D05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930544G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4930548H24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930550C14Rik	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4930550L24Rik	3	0	4	3	0	0	0	0	2	0	0	0	0	0	0	0
4930555G01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930556J24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930558C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930558K02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930562C15Rik	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
4930563E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930563M21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930564D02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930568D16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930572O03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930578G10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930578I06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930579F01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930579G24Rik	11	1	9	5	17	5	12	16	6	0	5	6	17	5	10	7
4930583I09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930590J08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930595D18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930595M18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930596D02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931400O07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931406B18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931406C07Rik	45	11	28	33	31	15	45	46	7	2	3	4	24	7	11	10
4931406P16Rik	32	12	10	21	16	5	13	15	12	4	5	4	7	4	18	13
4931408C20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931414P19Rik	6	6	10	6	8	6	13	8	5	0	4	2	9	2	8	4
4931417E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931422A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
