	RNA_HSC_vehicle_B	RNA_HSC_Ven_A	RNA_HSC_vehicle_A	RNA_HSC_Ven_B	RNA_GMP_Ven_A	RNA_GMP_vehicle_A	RNA_GMP_Ven_B	RNA_GMP_vehicle_B
Zfp451-202	119.0	143.0	164.0	133.0	138.0	14.0	22.0	9.0
Bend6-201	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0
Dst-201	12.0	10.0	6.0	4.0	22.0	1.0	2.0	2.0
Ccdc115-201	987.0	878.0	870.0	853.0	725.0	482.0	295.0	311.0
Imp4-201	1153.0	1278.0	1252.0	1040.0	883.0	177.0	313.0	291.0
Ptpn18-201	502.0	469.0	542.0	429.0	498.0	1616.0	349.0	2949.0
Prss39-201	2.0	0.0	3.0	2.0	0.0	0.0	0.0	9.0
Cfc1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prss40-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amer3-201	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Arhgef4-201	154.0	133.0	141.0	118.0	118.0	5.0	22.0	4.0
Arhgef4-208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam168b-201	200.0	226.0	351.0	215.0	203.0	24.0	55.0	21.0
Plekhb2-201	319.0	302.0	355.0	241.0	263.0	15.0	52.0	27.0
Hs6st1-201	26.0	51.0	53.0	35.0	41.0	10.0	9.0	6.0
Uggt1-201	2711.0	2838.0	4292.0	3019.0	3346.0	286.0	498.0	260.0
Neurl3-201	229.0	157.0	284.0	196.0	152.0	22.0	37.0	14.0
Arid5a-204	682.0	722.0	863.0	813.0	663.0	91.0	250.0	94.0
Kansl3-205	486.0	519.0	645.0	431.0	527.0	10.0	80.0	28.0
Fer1l5-202	8.0	7.0	11.0	12.0	34.0	0.0	0.0	0.0
Lman2l-204	305.0	335.0	455.0	278.0	368.0	39.0	130.0	70.0
Cnnm4-201	13.0	17.0	20.0	19.0	16.0	0.0	11.0	1.0
Cnnm3-201	284.0	243.0	335.0	249.0	247.0	22.0	49.0	2.0
Ankrd23-201	23.0	23.0	36.0	21.0	17.0	7.0	13.0	1.0
Gm42417-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ankrd39-201	144.0	133.0	146.0	121.0	132.0	99.0	32.0	156.0
Sema4c-202	65.0	108.0	168.0	104.0	103.0	15.0	20.0	1.0
Fam178b-201	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0
Cox5b-204	1489.0	1406.0	1284.0	1451.0	1226.0	3704.0	714.0	6120.0
Actr1b-201	372.0	387.0	499.0	398.0	403.0	35.0	86.0	31.0
4933424G06Rik-204	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0
Zap70-201	8.0	9.0	11.0	14.0	45.0	3.0	4.0	0.0
Tmem131-208	568.0	690.0	1124.0	603.0	821.0	30.0	43.0	22.0
Vwa3b-212	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Cnga3-201	0.0	2.0	6.0	1.0	0.0	0.0	0.0	0.0
Inpp4a-201	69.0	66.0	99.0	57.0	86.0	18.0	8.0	0.0
Coa5-201	119.0	93.0	87.0	98.0	92.0	87.0	24.0	110.0
Unc50-201	1304.0	1185.0	1226.0	1334.0	1114.0	912.0	496.0	720.0
Mgat4a-205	98.0	56.0	68.0	87.0	71.0	16.0	8.0	7.0
2010300C02Rik-203	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0
Tsga10-201	74.0	63.0	95.0	67.0	77.0	23.0	13.0	17.0
Lipt1-201	54.0	53.0	57.0	50.0	48.0	15.0	11.0	11.0
Mitd1-201	513.0	542.0	512.0	509.0	389.0	280.0	159.0	223.0
Mrpl30-201	929.0	863.0	758.0	695.0	769.0	724.0	343.0	1429.0
Lyg2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lyg1-202	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Txndc9-201	1854.0	1748.0	1620.0	1348.0	1604.0	919.0	589.0	1210.0
Eif5b-201	1970.0	2001.0	1863.0	1760.0	1735.0	4399.0	809.0	4009.0
Rev1-201	1845.0	1476.0	2444.0	1389.0	2298.0	369.0	303.0	177.0
Aff3-203	2.0	0.0	1.0	0.0	45.0	0.0	1.0	0.0
Lonrf2-202	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
Chst10-201	0.0	0.0	1.0	1.0	2.0	0.0	2.0	0.0
Nms-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pdcl3-201	1346.0	1273.0	1254.0	1077.0	1142.0	974.0	512.0	1034.0
Npas2-201	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Rpl31-201	2150.0	1968.0	1757.0	1773.0	1905.0	5695.0	1091.0	13992.0
Tbc1d8-201	592.0	587.0	893.0	528.0	829.0	113.0	138.0	39.0
Cnot11-203	617.0	584.0	992.0	699.0	666.0	379.0	216.0	253.0
Rnf149-201	491.0	479.0	567.0	452.0	547.0	123.0	219.0	91.0
Creg2-201	4.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0
Rfx8-202	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Gm3646-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Map4k4-209	473.0	507.0	812.0	573.0	567.0	311.0	173.0	159.0
Il1r2-201	104.0	66.0	78.0	94.0	279.0	87.0	60.0	72.0
Il1r1-201	26.0	4.0	23.0	13.0	12.0	2.0	3.0	0.0
Il1rl2-204	153.0	124.0	182.0	158.0	104.0	2.0	5.0	1.0
Il1rl1-202	15.0	7.0	10.0	6.0	3.0	0.0	0.0	0.0
Il18r1-202	0.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0
Il18rap-201	318.0	314.0	362.0	375.0	337.0	24.0	41.0	19.0
Slc9a4-201	1.0	7.0	1.0	6.0	12.0	1.0	5.0	1.0
Slc9a2-201	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
Mfsd9-201	37.0	21.0	71.0	31.0	38.0	0.0	1.0	0.0
Tmem182-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pou3f3-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mrps9-201	960.0	772.0	958.0	810.0	659.0	587.0	266.0	559.0
Gpr45-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tgfbrap1-201	289.0	266.0	384.0	274.0	352.0	14.0	31.0	25.0
AI597479-201	100.0	73.0	125.0	72.0	146.0	11.0	7.0	21.0
Fhl2-201	4.0	7.0	2.0	5.0	1.0	2.0	2.0	1.0
Nck2-201	153.0	161.0	199.0	127.0	99.0	2.0	12.0	0.0
Ecrg4-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Uxs1-202	805.0	803.0	811.0	711.0	573.0	237.0	243.0	148.0
Tpp2-201	2316.0	2492.0	2771.0	2158.0	2168.0	395.0	336.0	266.0
Mettl21c-201	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0
Gm8251-202	8.0	25.0	19.0	8.0	11.0	14.0	0.0	1.0
Tex30-208	1423.0	1389.0	1254.0	1059.0	848.0	580.0	308.0	641.0
Poglut2-202	964.0	818.0	833.0	786.0	505.0	140.0	184.0	101.0
Bivm-202	193.0	165.0	183.0	137.0	104.0	0.0	10.0	1.0
Ercc5-201	283.0	294.0	422.0	308.0	249.0	142.0	74.0	132.0
Mettl21e-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gulp1-201	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Col3a1-201	44.0	6.0	19.0	22.0	19.0	0.0	1.0	0.0
Col5a2-201	11.0	10.0	16.0	11.0	5.0	0.0	1.0	1.0
Wdr75-201	1861.0	1935.0	1576.0	1502.0	1244.0	721.0	319.0	639.0
Gm5269-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc40a1-201	1883.0	1259.0	2244.0	1597.0	1780.0	27.0	222.0	48.0
Dnah7b-201	6.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0
Dnah7c-204	1.0	2.0	0.0	0.0	0.0	3.0	0.0	2.0
Slc39a10-201	416.0	398.0	491.0	352.0	411.0	31.0	37.0	35.0
Tmeff2-201	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0
Cavin2-201	1.0	3.0	1.0	4.0	5.0	0.0	1.0	0.0
Nabp1-201	159.0	123.0	208.0	117.0	207.0	18.0	43.0	4.0
Myo1b-202	8.0	2.0	5.0	3.0	13.0	6.0	5.0	0.0
Stat4-201	1020.0	1117.0	1088.0	910.0	1115.0	54.0	193.0	78.0
Stat1-201	2066.0	2648.0	3558.0	1981.0	2678.0	298.0	534.0	290.0
Gls-204	839.0	767.0	891.0	720.0	783.0	114.0	89.0	41.0
Nab1-201	969.0	1015.0	1219.0	887.0	768.0	27.0	112.0	22.0
Nemp2-201	87.0	110.0	133.0	71.0	116.0	10.0	40.0	5.0
Mfsd6-201	77.0	66.0	149.0	83.0	200.0	0.0	9.0	3.0
Inpp1-201	196.0	231.0	330.0	225.0	280.0	52.0	62.0	27.0
Hibch-201	607.0	570.0	673.0	525.0	538.0	69.0	182.0	120.0
1700019D03Rik-201	3.0	2.0	17.0	13.0	1.0	0.0	0.0	0.0
Mstn-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700019A02Rik-201	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Pms1-201	915.0	870.0	877.0	584.0	715.0	101.0	143.0	109.0
Ormdl1-201	332.0	349.0	349.0	246.0	373.0	51.0	94.0	65.0
Osgepl1-202	662.0	512.0	544.0	570.0	416.0	88.0	110.0	62.0
Gm28551-201	4.0	3.0	1.0	2.0	3.0	2.0	1.0	1.0
Asnsd1-201	1005.0	825.0	889.0	797.0	786.0	835.0	272.0	1198.0
Asdurf-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dnah7a-201	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0
Stk17b-201	1130.0	1086.0	1074.0	947.0	1237.0	173.0	256.0	134.0
Hecw2-203	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0
Ccdc150-201	1.0	3.0	6.0	1.0	2.0	3.0	0.0	0.0
Gtf3c3-201	655.0	578.0	796.0	542.0	549.0	58.0	60.0	88.0
Gm34066-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pgap1-201	3.0	7.0	12.0	2.0	35.0	11.0	0.0	10.0
Ankrd44-210	659.0	668.0	1125.0	706.0	924.0	104.0	85.0	34.0
Sf3b1-201	13415.0	12278.0	15400.0	11476.0	11671.0	4160.0	2904.0	2354.0
Coq10b-202	131.0	148.0	186.0	103.0	179.0	32.0	38.0	24.0
Hspd1-201	9019.0	9532.0	8644.0	7744.0	6714.0	4289.0	2448.0	3653.0
Hspe1-201	633.0	821.0	506.0	595.0	485.0	4259.0	371.0	4251.0
Mob4-205	827.0	736.0	679.0	667.0	704.0	310.0	199.0	250.0
Rftn2-201	44.0	60.0	52.0	38.0	40.0	21.0	20.0	19.0
Mars2-201	212.0	351.0	362.0	221.0	228.0	70.0	54.0	38.0
Boll-201	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Plcl1-201	10.0	12.0	12.0	17.0	14.0	3.0	0.0	0.0
Hsfy2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Satb2-202	8.0	4.0	18.0	0.0	5.0	1.0	0.0	0.0
1700066M21Rik-201	144.0	148.0	222.0	120.0	139.0	7.0	32.0	6.0
Tyw5-209	345.0	396.0	358.0	236.0	265.0	210.0	95.0	179.0
Maip1-201	457.0	362.0	452.0	406.0	278.0	334.0	113.0	486.0
Spats2l-212	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Kctd18-202	206.0	133.0	190.0	171.0	120.0	36.0	29.0	32.0
Sgo2a-201	1078.0	1089.0	1410.0	886.0	908.0	198.0	161.0	206.0
Aox1-201	42.0	31.0	39.0	37.0	0.0	0.0	0.0	0.0
Aox3-201	4.0	0.0	0.0	13.0	2.0	0.0	1.0	0.0
Aox4-201	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
Aox2-201	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
Bzw1-201	7861.0	8028.0	7423.0	6292.0	6332.0	901.0	1624.0	997.0
Clk1-201	2876.0	2704.0	2864.0	2442.0	3563.0	2631.0	845.0	689.0
Ppil3-204	362.0	291.0	278.0	232.0	253.0	319.0	134.0	452.0
Nif3l1-201	779.0	744.0	732.0	629.0	604.0	136.0	206.0	232.0
Orc2-201	1328.0	1219.0	1285.0	1079.0	798.0	164.0	168.0	191.0
Fam126b-207	394.0	380.0	449.0	304.0	281.0	2.0	5.0	6.0
Ndufb3-201	1513.0	1298.0	1257.0	1127.0	983.0	4392.0	496.0	4566.0
Flacc1-201	16.0	13.0	6.0	8.0	3.0	2.0	0.0	2.0
Cflar-205	339.0	304.0	400.0	308.0	337.0	28.0	45.0	9.0
Casp8-201	3035.0	3260.0	3499.0	2685.0	3431.0	291.0	775.0	365.0
Trak2-201	396.0	413.0	466.0	424.0	377.0	26.0	35.0	7.0
Stradb-201	436.0	483.0	534.0	395.0	377.0	34.0	71.0	40.0
C2cd6-201	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Tmem237-202	418.0	353.0	288.0	313.0	76.0	32.0	17.0	43.0
Mpp4-202	2.0	2.0	2.0	2.0	3.0	0.0	0.0	0.0
Als2-201	1017.0	1018.0	901.0	856.0	231.0	14.0	29.0	11.0
Cdk15-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fzd7-201	14.0	23.0	30.0	7.0	13.0	0.0	1.0	2.0
Gm973-201	107.0	43.0	39.0	46.0	12.0	16.0	10.0	16.0
Sumo1-201	1434.0	1460.0	1248.0	1046.0	1320.0	600.0	540.0	871.0
Nop58-201	4822.0	4352.0	4063.0	3815.0	3422.0	2181.0	1415.0	1864.0
Bmpr2-201	1.0	2.0	3.0	5.0	11.0	3.0	1.0	5.0
Fam117b-201	311.0	333.0	516.0	344.0	454.0	15.0	56.0	8.0
Ica1l-201	15.0	5.0	5.0	5.0	16.0	0.0	0.0	0.0
Wdr12-201	3324.0	3091.0	2891.0	2738.0	1949.0	1121.0	768.0	1596.0
Carf-209	89.0	55.0	54.0	40.0	34.0	8.0	10.0	2.0
Nbeal1-203	164.0	139.0	146.0	133.0	192.0	131.0	19.0	52.0
Cyp20a1-201	756.0	720.0	806.0	727.0	506.0	66.0	113.0	52.0
Abi2-201	72.0	81.0	140.0	73.0	24.0	2.0	11.0	0.0
Raph1-204	75.0	87.0	129.0	63.0	89.0	26.0	15.0	11.0
Cd28-201	5.0	3.0	3.0	4.0	9.0	0.0	7.0	0.0
Ctla4-201	5.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
Icos-202	11.0	2.0	1.0	1.0	5.0	0.0	0.0	0.0
Pard3b-202	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
Nrp2-206	18.0	6.0	40.0	20.0	9.0	0.0	2.0	0.0
Ino80d-205	132.0	142.0	166.0	107.0	164.0	68.0	30.0	63.0
Ndufs1-201	3437.0	3000.0	3181.0	2627.0	2459.0	785.0	741.0	586.0
Eef1b2-204	2699.0	2422.0	2151.0	2412.0	2283.0	17809.0	1513.0	15379.0
Gpr1-201	4.0	0.0	0.0	0.0	1.0	14.0	0.0	3.0
Zdbf2-202	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Adam23-201	1.0	0.0	0.0	1.0	0.0	2.0	0.0	7.0
Gm39653-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dytn-201	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mdh1b-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fastkd2-201	1294.0	1196.0	1109.0	1058.0	760.0	192.0	228.0	189.0
4933402D24Rik-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klf7-202	147.0	167.0	195.0	160.0	144.0	30.0	44.0	45.0
Creb1-209	540.0	601.0	536.0	444.0	464.0	42.0	71.0	69.0
Mettl21a-201	158.0	139.0	182.0	156.0	152.0	40.0	36.0	44.0
Ccnyl1-201	79.0	106.0	130.0	113.0	76.0	5.0	12.0	0.0
Fzd5-201	6.0	10.0	4.0	0.0	3.0	0.0	0.0	0.0
Plekhm3-201	40.0	21.0	44.0	34.0	52.0	10.0	19.0	4.0
Akr1cl-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cryge-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crygd-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crygc-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crygb-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cryga-201	4.0	12.0	8.0	7.0	0.0	5.0	2.0	3.0
Gm28845-201	4.0	2.0	6.0	6.0	0.0	0.0	0.0	12.0
D630023F18Rik-201	5.0	22.0	15.0	11.0	4.0	0.0	0.0	0.0
Idh1-201	3588.0	4212.0	3777.0	3593.0	3401.0	232.0	805.0	185.0
Pikfyve-201	434.0	431.0	552.0	462.0	419.0	51.0	50.0	33.0
Pth2r-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crygf-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Map2-204	1.0	0.0	1.0	5.0	12.0	1.0	0.0	0.0
Unc80-201	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
Rpe-201	1070.0	1041.0	1101.0	877.0	1080.0	174.0	204.0	165.0
Kansl1l-201	795.0	683.0	866.0	609.0	660.0	95.0	150.0	60.0
Acadl-201	2265.0	1950.0	2277.0	2183.0	1776.0	468.0	692.0	643.0
Myl1-202	0.0	5.0	0.0	0.0	5.0	0.0	1.0	0.0
Lancl1-202	894.0	746.0	887.0	682.0	636.0	180.0	194.0	281.0
Cps1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Erbb4-201	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ikzf2-201	337.0	355.0	442.0	285.0	304.0	12.0	31.0	14.0
Spag16-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vwc2l-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bard1-201	65.0	70.0	74.0	47.0	70.0	48.0	15.0	32.0
Abca12-201	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
Atic-201	1240.0	1225.0	1328.0	1080.0	1110.0	371.0	373.0	412.0
Fn1-201	669.0	489.0	582.0	676.0	988.0	74.0	80.0	74.0
Mreg-201	205.0	182.0	267.0	239.0	162.0	8.0	19.0	5.0
Pecr-201	385.0	281.0	369.0	384.0	295.0	76.0	107.0	155.0
Tmem169-201	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Xrcc5-201	98.0	64.0	86.0	74.0	19.0	8.0	4.0	11.0
March4-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Smarcal1-201	795.0	705.0	870.0	621.0	617.0	345.0	164.0	279.0
Ankar-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
