Name	Description	GMP_Ven_A	GMP_Ven_B	GMP_vehicle_A	GMP_vehicle_B	HSC_Ven_A	HSC_Ven_B	HSC_vehicle_A	HSC_vehicle_B
3830406C13Rik	NA	0.01	0.02	0.02	0.02	0.01	0.04	0.01	0.01
4833420G17Rik	NA	0.05	0.03	0.04	0.06	0.05	0.02	0.06	0.05
4833439L19Rik	NA	0	0.01	0.01	0	0.05	0.08	0.01	0.02
4921524J17Rik	NA	0.08	0.06	0.06	0.09	0.02	0.01	0.04	0.02
4930402H24Rik	NA	0.16	0.07	0.16	0.19	0.19	0.11	0.16	0.14
4930430F08Rik	NA	0.17	0.13	0.09	0.1	0.16	0.11	0.18	0.17
4930438A08Rik	NA	0.05	0.05	0.07	0.06	0.22	0.24	0.08	0.08
4930453N24Rik	NA	0.09	0.06	0.06	0.09	0.06	0.03	0.09	0.07
4930579G24Rik	NA	0.01	0	0.01	0.01	0.03	0.03	0.02	0.03
4931406C07Rik	NA	0.32	0.23	0.35	0.4	0.14	0.17	0.41	0.36
4931406P16Rik	NA	0.13	0.13	0.08	0.13	0.12	0.07	0.1	0.24
4931414P19Rik	NA	0.09	0.18	0.15	0.08	0.11	0.15	0.26	0.16
4932438A13Rik	NA	0.37	0.27	0.36	0.31	0.37	0.2	0.2	0.36
5031439G07Rik	NA	0.04	0.04	0.04	0.05	0.04	0.05	0.04	0.05
5430427O19Rik	NA	0.09	0.09	0.06	0.07	0.06	0.13	0.06	0.06
5730409E04Rik	NA	1.82	0.15	1.49	1.21	0.13	0	1.67	0
5730455P16Rik	NA	0.08	0.08	0.08	0.08	0.07	0.04	0.04	0.07
5730480H06Rik	NA	0.09	0.02	0.05	0.07	0.07	0.05	0.08	0.06
6030458C11Rik	NA	0.05	0.04	0.05	0.07	0.13	0.08	0.09	0.08
6430548M08Rik	NA	0.08	0	0.06	0.11	0.12	0.18	0.11	0.16
8030462N17Rik	NA	0.49	0.41	0.39	0.28	0.18	0.12	0.71	0.39
9130401M01Rik	NA	0.29	0.23	0.25	0.23	0.06	0.12	0.41	0.12
9430015G10Rik	NA	0.02	0.01	0	0.01	0.02	0	0.02	0.03
9430038I01Rik	NA	0.06	0.07	0.05	0.07	0.01	0.02	0.07	0.07
9530068E07Rik	NA	0.04	0.04	0.03	0.05	0.04	0.06	0.04	0.05
9930012K11Rik	NA	0.07	0.25	0.07	0.11	0.16	0.14	0.23	0.18
9930021J03Rik	NA	0.14	0.05	0.14	0.12	0.09	0.04	0.1	0.09
9930104L06Rik	NA	0.04	0.03	0.07	0.05	0.05	0.04	0.1	0.05
A430005L14Rik	NA	0.02	0.03	0.02	0.02	0	0.01	0.01	0.01
A630001G21Rik	NA	0.09	0.08	0.09	0.08	0.03	0.02	0.07	0.06
AB124611	NA	0.09	0.07	0.08	0.1	0.03	0.02	0.08	0.07
AI413582	NA	0.04	0.05	0.02	0.04	0.01	0.01	0.04	0.04
AI467606	NA	0.04	0.05	0.03	0.07	0.03	0.04	0.05	0.06
AI597479	NA	0.06	0.02	0.06	0.06	0.04	0.06	0.03	0.07
AI837181	NA	0.08	0.07	0.06	0.09	0.07	0.08	0.07	0.03
AU040320	NA	0.21	0.3	0.28	0.28	3.4	4.81	0.27	1.09
AW209491	NA	0.07	0.03	0.05	0.06	0.1	0.09	0.07	0.06
AW549877	NA	0.02	0.01	0.02	0.03	0.06	0.03	0.02	0.08
AW554918	NA	0.12	0.08	0.13	0.17	0.21	0.15	0.1	0.28
Aaas	NA	0.14	0.19	0.12	0.13	0.18	0.77	0.15	0.13
Aacs	NA	0.15	0.16	0.17	0.1	0.22	0.32	0.15	0.16
Aagab	NA	0.04	0.03	0.04	0.05	0.08	0.08	0.06	0.07
Aak1	NA	0.56	0.39	0.35	0.25	1.35	5.68	0.65	3.53
Aamdc	NA	0.28	0.13	0.22	0.16	0.01	0.01	0.15	0.08
Aamp	NA	0.13	0.12	0.1	0.11	0.05	0.05	0.14	0.07
Aars	NA	0.15	0.19	0.13	0.11	0.28	0.51	0.13	0.09
Aars2	NA	0.09	0.18	0.18	0.21	0.16	0.21	0.12	0.11
Aasdh	NA	0.06	0.08	0.08	0.05	0.16	0.05	0.14	0.05
Aasdhppt	NA	0.1	0.08	0.05	0.08	0.04	0.04	0.06	0.07
Aatf	NA	0.34	0.29	0.27	0.3	0.19	0.36	0.3	0.17
Aatk	NA	0.09	0.2	0.24	0.14	0.22	0.16	0.17	0.22
Abca1	NA	1.04	0.56	0.74	0.58	0.36	0.29	0.49	0.84
Abca13	NA	1.39	1.43	1.78	1.58	1.96	1.47	1.45	2.47
Abca2	NA	0.22	0.3	0.37	0.34	2.13	2.22	0.34	0.9
Abca3	NA	0.24	0.28	0.35	0.3	0.28	0.31	0.33	0.42
Abca7	NA	0.17	0.37	0.34	0.3	0.21	0.32	0.28	0.57
Abca9	NA	0.45	0.21	0.13	0.22	1.55	0.95	0.09	0.3
Abcb10	NA	0.05	0.08	0.12	0.08	0.15	0.11	0.08	0.13
Abcb1b	NA	0.24	0.24	0.06	0.53	0.26	0.27	0.13	0.28
Abcb7	NA	0.17	0.15	0.2	0.17	0.05	0.07	0.1	0.17
Abcb8	NA	0.03	0.06	0.04	0.05	0.06	0.1	0.05	0.05
Abcb9	NA	0.05	0.06	0.05	0.06	0.04	0.13	0.04	0.05
Abcc1	NA	0.47	0.52	0.48	0.45	0.46	0.46	0.42	0.89
Abcc10	NA	0.2	0.18	0.3	0.22	0.8	0.45	0.17	0.12
Abcc2	NA	0.2	0.3	0.45	0.38	1	0.4	0.31	0.45
Abcc3	NA	0.44	0.38	0.42	0.38	4.25	0.34	0.25	0.4
Abcc4	NA	0.17	0.21	0.25	0.19	0.55	0.42	0.2	0.44
Abcc5	NA	0.19	0.21	0.18	0.26	0.42	0.46	0.21	0.39
Abcc8	NA	0.12	0.1	0.22	0.08	0.77	0.38	0.16	0.19
Abcd1	NA	0.17	0.3	0.23	0.22	0.39	0.56	0.24	0.34
Abcd2	NA	0.06	0.09	0.11	0.08	0.17	0.2	0.05	0.12
Abcd3	NA	0.23	0.22	0.22	0.19	0.24	0.3	0.19	0.34
Abcd4	NA	0.14	0.29	0.38	0.2	0.11	0.23	0.21	0.23
Abce1	NA	0.1	0.08	0.09	0.08	0.2	0.19	0.09	0.16
Abcf1	NA	0.28	0.29	0.25	0.22	0.08	0.12	0.16	0.12
Abcf2	NA	0.11	0.1	0.1	0.1	0.22	0.34	0.11	0.1
Abcf3	NA	0.09	0.08	0.1	0.09	0.13	0.29	0.09	0.08
Abcg1	NA	0.2	0.4	0.29	0.27	0.15	0.13	0.22	0.27
Abcg2	NA	0.08	0.06	0.08	0.06	0.13	0.32	0.09	0.18
Abcg3	NA	0.18	0.21	0.19	0.41	0.2	0.2	0.12	0.25
Abhd10	NA	0.12	0.11	0.12	0.12	0.05	0.04	0.1	0.07
Abhd11	NA	0.07	0.09	0.09	0.09	0.02	0.02	0.05	0.05
Abhd12	NA	0.08	0.06	0.07	0.08	0.04	0.05	0.06	0.07
Abhd13	NA	0.02	0.01	0.01	0.02	0.05	0.02	0.02	0.03
Abhd14a	NA	0.21	0.23	0.24	0.15	0.06	0.06	0.13	0.13
Abhd16a	NA	0.07	0.12	0.11	0.11	0.12	0.15	0.1	0.12
Abhd17b	NA	0.03	0.02	0.03	0.01	0.02	0.01	0.02	0.02
Abhd2	NA	0.97	1.19	1.13	1.35	0.22	0.22	1.04	0.95
Abhd4	NA	0.03	0.02	0.03	0.04	0.09	0.16	0.04	0.04
Abhd5	NA	0.12	0.11	0.16	0.14	0.14	0.2	0.16	0.16
Abhd8	NA	0.07	0.05	0.03	0.04	0.17	0.13	0.08	0.09
Abi1	NA	0.09	0.1	0.1	0.08	0.14	0.12	0.09	0.12
Abi2	NA	0.1	0.09	0.19	0.13	0.41	0.27	0.23	0.27
Abi3	NA	0.22	1	0.17	0.22	0.14	0.49	0.28	0.29
Abitram	NA	0.07	0.08	0.06	0.08	0.06	0.28	0.05	0.1
Abl1	NA	0.18	0.23	0.26	0.2	0.33	0.39	0.29	0.24
Abl2	NA	2.06	2.94	1.34	1.13	3.25	0	1.87	3.71
Abr	NA	0.09	0.11	0.09	0.08	0.26	0.24	0.12	0.19
Abracl	NA	0.13	0.12	0.12	0.15	0.01	0.02	0.07	0.04
Abraxas1	NA	0.09	0.04	0.07	0.04	0.05	0.03	0.06	0.07
Abraxas2	NA	0.14	0.13	0.13	0.13	0.17	0.17	0.11	0.14
Abt1	NA	0.14	0.13	0.1	0.11	0.03	0.05	0.1	0.06
Abtb1	NA	0.06	0.08	0.11	0.08	0.05	0.07	0.09	0.05
Acaa1a	NA	0.09	0.09	0.07	0.1	0.02	0.03	0.1	0.08
Acaa2	NA	0.1	0.11	0.09	0.11	0.04	0.14	0.07	0.06
Acaca	NA	0.56	0.64	0.82	0.46	0.8	0.98	0.52	0.53
Acad10	NA	0.14	0.12	0.25	0.1	0.26	0.35	0.06	0.1
Acad11	NA	0.11	0.11	0.1	0.12	0.36	0.68	0.1	0.17
Acad8	NA	0.08	0.09	0.1	0.06	0.09	0.1	0.08	0.07
Acad9	NA	0.06	0.06	0.07	0.07	0.03	0.08	0.04	0.04
Acadl	NA	0.21	0.24	0.25	0.21	0.2	0.48	0.23	0.18
Acadm	NA	0.14	0.12	0.14	0.11	0.04	0.06	0.08	0.07
Acads	NA	0.12	0.16	0.14	0.12	0.09	0.15	0.14	0.1
Acadsb	NA	0.1	0.09	0.09	0.1	0.12	0.15	0.07	0.14
Acadvl	NA	0.16	0.17	0.16	0.15	0.1	0.28	0.12	0.09
Acap1	NA	0.08	0.11	0.09	0.11	0.11	0.19	0.08	0.08
Acap2	NA	0.3	0.32	0.33	0.26	0.76	0.5	0.3	0.57
Acap3	NA	0.09	0.09	0.07	0.11	0.27	0.43	0.09	0.09
Acat1	NA	0.1	0.09	0.09	0.1	0.06	0.11	0.08	0.08
Acbd3	NA	0.12	0.14	0.12	0.13	0.2	0.15	0.12	0.15
Acbd4	NA	0.11	0.11	0.18	0.02	0.13	0.3	0.16	0.1
Acbd5	NA	0.15	0.11	0.16	0.13	0.17	0.18	0.12	0.18
Acbd6	NA	0.51	0.33	0.36	0.35	0.05	0.08	0.33	0.14
Accs	NA	0.08	0.13	0.13	0.11	0.17	0.21	0.17	0.2
Acd	NA	0.02	0.04	0.05	0.04	0.04	0.02	0.02	0.04
Ace	NA	0.73	0.34	0.25	0.3	0.33	0.49	0.25	0.46
Acer3	NA	0.04	0.04	0.03	0.05	0.04	0.03	0.04	0.05
Acin1	NA	0.52	0.75	0.46	0.52	0.2	0.22	0.62	0.42
Acly	NA	0.08	0.11	0.1	0.07	0.21	0.47	0.07	0.12
Aco1	NA	0.05	0.04	0.05	0.05	0.11	0.2	0.04	0.04
Aco2	NA	0.11	0.13	0.11	0.12	0.08	0.23	0.06	0.11
Acot11	NA	0.11	0.12	0.08	0.09	0.23	0.14	0.07	0.12
Acot13	NA	0.45	0.32	0.31	0.39	0.08	0.17	0.47	0.31
Acot2	NA	0.19	0.13	0.32	0.32	0.07	0.29	0.91	0.18
Acot7	NA	0.13	0.19	0.1	0.19	0.09	0.27	0.2	0.15
Acot8	NA	0.1	0.18	0.14	0.19	0.05	0.15	0.15	0.1
Acot9	NA	0.07	0.07	0.08	0.07	0.08	0.14	0.07	0.06
Acox1	NA	0.13	0.14	0.23	0.13	0.23	0.33	0.21	0.27
Acox3	NA	0.04	0.05	0.05	0.07	0.09	0.08	0.07	0.09
Acp1	NA	0.03	0.01	0.02	0.03	0.01	0.02	0.02	0.01
Acp2	NA	0.04	0.06	0.04	0.06	0.02	0	0.04	0.09
Acp5	NA	0.03	0.03	0.05	0.03	0.03	0.04	0.04	0.05
Acp6	NA	0.1	0.09	0.07	0.06	0.07	0.11	0.08	0.06
Acpp	NA	0.1	0.17	0.2	0.13	0.16	0.17	0.14	0.36
Acsf2	NA	0.39	0.77	0.76	0.46	0.69	2.1	0.27	0.44
Acsf3	NA	0.13	0.22	0.15	0.17	0.09	0.29	0.18	0.16
Acsl1	NA	0.11	0.13	0.14	0.11	0.24	0.23	0.1	0.15
Acsl3	NA	0.16	0.13	0.1	0.07	0.16	0.06	0.08	0.14
Acsl4	NA	0.13	0.17	0.13	0.12	0.07	0.15	0.11	0.2
Acsl5	NA	0.07	0.07	0.08	0.07	0.2	0.18	0.07	0.1
Acss1	NA	0.12	0.09	0.16	0.11	0.16	0.13	0.11	0.15
Acss2	NA	0.06	0.06	0.25	0.22	0.19	0.19	0.15	0.1
Acta2	NA	0.33	0.22	0.19	0.26	0.12	0.46	0.25	0.53
Actb	NA	0.03	0.05	0.03	0.04	0	0.01	0.04	0.02
Actg1	NA	0.05	0.08	0.06	0.07	0.03	0.03	0.06	0.04
Actl6a	NA	0.16	0.15	0.16	0.14	0.32	0.31	0.15	0.12
Actn1	NA	0.18	0.38	0.31	0.45	0.49	0.76	0.29	0.35
Actn4	NA	0.08	0.11	0.09	0.07	0.25	0.74	0.07	0.1
Actr10	NA	0.14	0.14	0.12	0.14	0.07	0.13	0.11	0.09
Actr1a	NA	0.08	0.08	0.08	0.09	0.12	0.17	0.1	0.09
Actr1b	NA	0.06	0.05	0.06	0.07	0.16	0.12	0.08	0.07
Actr2	NA	0.08	0.09	0.09	0.09	0.08	0.09	0.08	0.09
Actr3	NA	0.05	0.05	0.05	0.05	0.06	0.05	0.05	0.05
Actr5	NA	0.06	0.1	0.11	0.08	0.09	0.14	0.1	0.08
Actr6	NA	0.11	0.07	0.09	0.1	0.06	0.05	0.07	0.07
Actr8	NA	0.05	0.04	0.05	0.05	0.06	0.07	0.04	0.03
Acvr1b	NA	0.33	0.42	0.37	0.43	0.32	0.16	0.32	0.43
Acy1	NA	0.16	0.15	0.13	0.12	0.06	0.12	0.14	0.08
Acyp1	NA	0.08	0.09	0.06	0.09	0	0.01	0.07	0.03
Acyp2	NA	0.56	1.04	0.74	0.43	0.22	0.06	1.11	0.35
Ada	NA	0.1	0.16	0.15	0.18	0.09	0.22	0.25	0.21
Adam10	NA	0.15	0.14	0.15	0.14	0.14	0.23	0.11	0.31
Adam15	NA	0.11	0.14	0.12	0.12	0.26	0.39	0.24	0.26
Adam17	NA	0.2	0.18	0.17	0.19	0.34	0.4	0.15	0.32
Adam3	NA	0.28	0.27	0.18	0.22	0.17	0.54	0.2	0.38
Adam8	NA	0.25	0.35	0.25	0.27	0.29	0.36	0.24	0.36
Adam9	NA	0.26	0.3	0.28	0.26	0.46	0.3	0.2	0.38
Adamts10	NA	0.04	0.12	0.09	0.1	0.15	0.13	0.09	0.15
Adamtsl4	NA	0.13	0.35	0.36	0.2	0.26	0.07	0.3	0.46
Adap1	NA	0.05	0.07	0.06	0.07	0.11	0.06	0.09	0.07
Adar	NA	0.21	0.3	0.25	0.28	0.81	0.85	0.28	0.37
Adat1	NA	0.14	0.05	0.11	0.16	0.13	0.12	0.21	0.17
Adat2	NA	0.35	0.75	0.32	0.48	0.09	0.11	0.53	0.37
Adck1	NA	0.09	0.08	0.08	0.06	0.06	0.12	0.09	0.12
Adck2	NA	0.09	0.14	0.19	0.18	0.32	0.12	0.16	0.15
Adck5	NA	0.17	0.19	0.17	0.26	0.12	0.16	0.15	0.08
Adcy3	NA	0.12	0.3	0.31	0.13	2.21	0.35	0.16	0.36
Adcy7	NA	0.13	0.15	0.16	0.14	0.3	0.17	0.17	0.2
Adcy9	NA	0.85	0.51	1.17	0.54	0.47	0.44	1.37	0.91
Add1	NA	0.13	0.18	0.16	0.14	0.39	0.37	0.18	0.2
Add3	NA	0.08	0.13	0.11	0.12	0.19	0.2	0.12	0.18
Adgrb1	NA	0.37	0.48	0.39	0.3	0.58	0.76	0.37	0.51
Adgre1	NA	0.11	0.11	0.11	0.17	0.18	0.24	0.09	0.19
Adgre4	NA	0.12	0.14	0.11	0.21	0.08	0.18	0.19	0.62
Adgre5	NA	0.2	0.33	0.24	0.28	0.45	0.96	0.2	0.42
Adgrg1	NA	0.14	0.2	0.17	0.15	0.17	0.34	0.13	0.21
Adgrg3	NA	0.08	0.1	0.1	0.11	0.18	0.32	0.11	0.15
Adgrl4	NA	0.03	0.04	0.03	0.04	0.06	0.09	0.03	0.07
Adh5	NA	0.15	0.17	0.14	0.14	0.08	0.23	0.13	0.09
Adi1	NA	0.04	0.03	0.03	0.03	0.04	0.06	0.03	0.03
Adipor1	NA	0.03	0.03	0.04	0.03	0.06	0.05	0.06	0.05
Adipor2	NA	0.3	0.2	0.25	0.27	0.15	0.1	0.31	0.25
Adk	NA	0.09	0.07	0.08	0.11	0.12	0.16	0.08	0.1
Adnp2	NA	0.15	0.12	0.21	0.15	0.37	0.22	0.28	0.33
Ado	NA	0.01	0.01	0.01	0.02	0.04	0.04	0.02	0.02
Adpgk	NA	0.14	0.2	0.12	0.21	0.29	0.17	0.16	0.25
Adprh	NA	0.19	0.32	0.23	0.28	0.11	0.21	0.22	0.18
Adprhl2	NA	0.15	0.11	0.1	0.14	0.11	0.1	0.19	0.14
Adprm	NA	0.05	0.01	0.03	0.04	0.03	0.03	0.04	0.03
Adrb2	NA	0.03	0.05	0.07	0.04	0.02	0.01	0.03	0.04
Adsl	NA	0.14	0.14	0.12	0.12	0.24	0.77	0.1	0.13
Adss	NA	0.15	0.16	0.17	0.16	0.15	0.14	0.13	0.12
Adssl1	NA	0.05	0.06	0.07	0.07	0.08	0.15	0.07	0.06
Aebp2	NA	0.16	0.09	0.14	0.15	0.26	0.07	0.19	0.23
Aen	NA	0.07	0.05	0.06	0.06	0.03	0.02	0.08	0.04
Afap1	NA	0.05	0.15	0.21	0.14	0.12	0.11	0.14	0.19
Afap1l1	NA	0.08	0.05	0.05	0.03	0.15	0.2	0.02	0.12
Afdn	NA	0.43	0.39	0.57	0.17	0.35	0.21	0.4	0.18
Aff1	NA	0.14	0.13	0.2	0.16	0.18	0.11	0.12	0.2
Aff2	NA	0.2	0.35	0.22	0.23	0.75	0.52	0.28	0.4
Aff4	NA	0.25	0.19	0.22	0.14	0.24	0.1	0.16	0.2
Afg1l	NA	0.2	0.36	0.16	0.2	0.19	0.18	0.2	0.16
Afg3l1	NA	0.12	0.16	0.14	0.14	0.11	0.18	0.09	0.09
Afg3l2	NA	0.17	0.18	0.19	0.17	0.21	0.21	0.12	0.15
Aftph	NA	0.13	0.1	0.13	0.12	0.07	0.03	0.1	0.11
Aga	NA	0.22	0.29	0.27	0.34	0.11	0.2	0.24	0.19
Agap1	NA	0.14	0.09	0.15	0.13	0.21	0.1	0.18	0.17
Agap2	NA	1.5	4.33	2.37	2.44	0.18	0.35	2.53	6.78
Agap3	NA	0.18	0.23	0.15	0.15	0.21	0.23	0.2	0.17
Agfg1	NA	0.04	0.03	0.03	0.03	0.08	0.03	0.03	0.05
Agfg2	NA	0.02	0.02	0.02	0.01	0.03	0.02	0.02	0.02
Aggf1	NA	0.09	0.08	0.1	0.08	0.16	0.1	0.1	0.09
Agk	NA	0.13	0.11	0.12	0.14	0.24	0.17	0.1	0.11
Agl	NA	0.19	0.23	0.29	0.23	0.47	0.4	0.24	0.39
Ago1	NA	0.23	0.14	0.18	0.28	0.19	0.1	0.39	0.23
Ago2	NA	0.25	0.16	0.2	0.17	0.26	0.14	0.35	0.31
Ago3	NA	0.08	0.06	0.15	0.12	0.13	0.05	0.09	0.19
Ago4	NA	0.08	0.08	0.12	0.11	0.09	0.04	0.16	0.14
Agpat1	NA	0.09	0.08	0.08	0.09	0.07	0.1	0.15	0.1
Agpat2	NA	0.02	0.02	0.02	0.02	0.04	0.05	0.03	0.02
Agpat3	NA	0.15	0.08	0.22	0.07	0.1	0.11	0.14	0.12
Agpat4	NA	0.14	0.25	0.18	0.28	0.05	0.02	0.15	0.2
Agpat5	NA	0.06	0.05	0.04	0.05	0.02	0.02	0.03	0.03
Agps	NA	0.07	0.11	0.12	0.11	0.15	0.12	0.08	0.19
Agrn	NA	0.66	0.67	0.63	1.24	3.97	1.99	0.65	0.91
Agtpbp1	NA	0.13	0.12	0.15	0.14	0.24	0.08	0.19	0.19
Ahctf1	NA	0.28	0.26	0.26	0.31	0.48	0.29	0.2	0.33
Ahcyl1	NA	0.07	0.06	0.08	0.07	0.22	0.16	0.11	0.17
Ahcyl2	NA	0.08	0.06	0.12	0.09	0.27	0.57	0.12	0.28
Ahsa1	NA	0.15	0.14	0.11	0.14	0.06	0.12	0.13	0.08
Ahsa2	NA	0.34	0.26	0.18	0.24	0.18	0.15	0.19	0.16
Aida	NA	0.09	0.06	0.06	0.07	0.04	0.03	0.06	0.05
Aif1	NA	0.59	0.15	0.42	0.32	0.02	0.02	0.26	0.13
Aifm1	NA	0.25	0.27	0.27	0.24	0.11	0.79	0.12	0.15
Aifm2	NA	0.15	0.15	0.17	0.16	0.15	0.26	0.2	0.2
Aim2	NA	0.13	0.07	0.08	0.13	0.05	0.03	0.07	0.08
Aimp1	NA	0.73	0.68	0.59	0.57	0.09	0.14	0.64	0.28
Aimp2	NA	0.19	0.2	0.17	0.19	0.11	0.63	0.22	0.17
Aip	NA	0.16	0.16	0.13	0.2	0.09	0.18	0.15	0.13
Ak2	NA	0.18	0.18	0.17	0.17	0.08	0.14	0.2	0.14
Ak6	NA	0.17	0.1	0.11	0.13	0.05	0.06	0.17	0.14
Akap1	NA	0.56	0.35	0.44	0.37	0.28	0.39	0.36	0.43
Akap10	NA	0.08	0.11	0.12	0.08	0.36	0.2	0.09	0.15
Akap11	NA	0.72	0.6	0.65	0.8	0.45	0.23	0.5	0.62
Akap12	NA	0.23	0.33	0.19	0.24	0.19	0.79	0.3	0.52
Akap13	NA	0.36	0.47	0.48	0.44	0.57	0.41	0.54	0.63
Akap8	NA	0.11	0.14	0.12	0.13	0.18	0.09	0.1	0.13
Akap8l	NA	0.11	0.14	0.13	0.15	0.09	0.1	0.12	0.11
Akap9	NA	0.47	0.41	0.54	0.52	0.39	0.38	0.46	0.34
Akip1	NA	0.03	0.03	0.05	0.03	0.01	0.02	0.03	0.03
Akirin1	NA	0.02	0.01	0.01	0.02	0.02	0.05	0.02	0.02
Akirin2	NA	0.11	0.11	0.09	0.09	0.06	0.03	0.12	0.08
Akna	NA	0.09	0.11	0.11	0.1	0.24	0.12	0.11	0.16
Akr1a1	NA	0.09	0.09	0.11	0.07	0.07	0.09	0.16	0.1
Akr1b10	NA	0.07	0.08	0.03	0.06	0.06	0.05	0.05	0.05
Akr1b3	NA	0.12	0.14	0.13	0.12	0.04	0.12	0.09	0.07
Akr1e1	NA	0.09	0.05	0.07	0.11	0.16	0.08	0.19	0.13
Akr7a5	NA	0.13	0.13	0.11	0.05	0.08	0.11	0.2	0.11
Akt1	NA	0.06	0.07	0.07	0.05	0.22	0.24	0.07	0.07
Akt1s1	NA	0.06	0.07	0.08	0.05	0.05	0.09	0.08	0.06
Akt2	NA	0.09	0.06	0.12	0.08	0.11	0.06	0.11	0.11
Akt3	NA	0.6	0	0.1	0.07	0.64	0.61	0.55	0.5
Aktip	NA	0.05	0.03	0.05	0.03	0.05	0.08	0.04	0.04
Alad	NA	0.06	0.12	0.07	0.09	0.03	0.08	0.11	0.06
Alas1	NA	0.07	0.12	0.1	0.09	0.22	0.42	0.11	0.1
Alcam	NA	0.29	0.29	0.27	0.45	0.12	0.12	0.13	0.24
Aldh16a1	NA	0.1	0.15	0.16	0.12	0.06	0.13	0.13	0.09
